property_type,mukim,scheme_name_area,tenure,land_parcel_area,unit_level,transaction_price,year,income_median_area,area_median_price
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,1216.3218752,24,450000,2023,10479.465762561138,570000.0
Condominium/Apartment,Mukim Batu,TRINITY LEMANJA,Freehold,914.932384,10,550000,2022,10518.458089229382,565000.0
Condominium/Apartment,Mukim Petaling,Others,Leasehold,1140.9745024,1,430000,2022,10391.98036882808,375000.0
Condominium/Apartment,Mukim Batu,TRINITY PENTAMONT MONT KIARA,Freehold,2034.3790656,26,1759000,2024,11745.298332582242,1643500.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,2389.5881088,0,2868000,2022,10302.979398251076,565000.0
Condominium/Apartment,Mukim Setapak,Others,Leasehold,1291.6692480000002,11,580000,2023,9948.789325842698,400000.0
Low-Cost Flat,Kuala Lumpur Town Centre,Others,Leasehold,667.3624448,3,170000,2021,10310.3500074107,570000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,3767.36864,8,2860000,2023,10479.465762561138,565000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Leasehold,2325.0046464,31,1519000,2024,11817.214210903478,455000.0
Condominium/Apartment,Mukim Setapak,M CENTURA,Freehold,656.5985344000001,27,400000,2022,9434.403370786516,555000.0
Condominium/Apartment,Mukim Batu,MENARA MENJALARA,Freehold,979.5158464,10,368000,2022,10518.458089229382,428000.0
Low-Cost Flat,Mukim Setapak,Others,Leasehold,539.2719110400001,0,250000,2024,10463.175280898877,400000.0
Condominium/Apartment,Mukim Kuala Lumpur,THE PARK RESIDENCE,Leasehold,1506.947456,6,825000,2023,11404.069648861696,1200000.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,1302.4331584,9,813000,2021,10423.65357921872,375000.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,1108.6827712,14,749000,2022,10391.98036882808,375000.0
Low-Cost Flat,Mukim Kuala Lumpur,SRI PENARA,Leasehold,645.8346240000001,8,234000,2023,11404.069648861696,280000.0
Condominium/Apartment,Mukim Kuala Lumpur,PANTAI HILLPARK APARTMENT,Leasehold,1022.571488,6,600000,2024,11817.214210903478,485000.0
Condominium/Apartment,Mukim Setapak,SENTUL POINT SUITE APARTMENTS,Freehold,742.7098176000001,12,368000,2023,9948.789325842698,384000.0
Low-Cost Flat,Mukim Kuala Lumpur,Others,Leasehold,656.5985344000001,3,190000,2022,10990.92508681991,455000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,1302.4331584,36,750000,2022,10518.458089229382,580000.0
Condominium/Apartment,Mukim Setapak,RESIDENSI VISTA SAUJANA,Leasehold,807.29328,31,310000,2022,9434.403370786516,300000.0
Condominium/Apartment,Mukim Kuala Lumpur,PANTAI HILLPARK APARTMENT,Leasehold,1044.0993088,11,450000,2023,11404.069648861696,492500.0
Condominium/Apartment,Mukim Setapak,RESIDENSI SEMARAK PLATINUM,Leasehold,925.6962944,17,510000,2022,9434.403370786516,465000.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,1463.8918144,16,840000,2022,10391.98036882808,375000.0
Condominium/Apartment,Mukim Batu,Others,Leasehold,968.751936,0,348000,2022,10518.458089229382,580000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,1453.127904,2,980000,2024,11817.214210903478,455000.0
Condominium/Apartment,Mukim Ampang,PERTIWI INDAH APARTMENT,Leasehold,1108.6827712,5,192000,2025,10573.023999999998,490000.0
Condominium/Apartment,Mukim Batu,SRI PUTRAMAS II,Freehold,1388.5444416,30,480000,2024,11745.298332582242,800000.0
Condominium/Apartment,Mukim Batu,Others,Leasehold,796.5293696,19,216000,2023,11131.878210905812,580000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,731.9459072,9,470000,2022,10302.979398251076,570000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,1571.5309184,11,625000,2023,11131.878210905812,580000.0
Condominium/Apartment,Mukim Petaling,Others,Leasehold,1291.6692480000002,44,560000,2022,10391.98036882808,375000.0
Condominium/Apartment,Mukim Petaling,Others,Leasehold,1001.0436672,10,430000,2022,10391.98036882808,375000.0
Low-Cost Flat,Mukim Kuala Lumpur,Others,Freehold,656.5985344000001,10,260000,2023,11404.069648861696,455000.0
Condominium/Apartment,Mukim Petaling,RESIDENSI WALTZ,Freehold,1248.6136064,30,867000,2022,10391.98036882808,1174000.0
Condominium/Apartment,Mukim Setapak,RESIDENSI PV 18,Leasehold,269.09776,11,526000,2022,9434.403370786516,498500.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Leasehold,828.8211008000001,7,370000,2024,11817.214210903478,455000.0
Condominium/Apartment,Mukim Batu,RESIDENSI 22 MONT KIARA,Freehold,2981.6031808,12,3100000,2024,11745.298332582242,2220000.0
Low-Cost Flat,Mukim Kuala Lumpur,SRI PENARA,Leasehold,645.8346240000001,17,250000,2024,11817.214210903478,280000.0
Low-Cost Flat,Mukim Setapak,BANDAR BARU WANGSA MAJU SEK 4,Leasehold,527.4316096,4,190000,2023,9948.789325842698,210000.0
Condominium/Apartment,Mukim Batu,SENI MONT KIARA,Freehold,2895.4918976,10,2200000,2024,11745.298332582242,2325000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Leasehold,753.473728,2,300000,2021,11221.58385241534,455000.0
Condominium/Apartment,Mukim Kuala Lumpur,PRISMA PERDANA  APT,Freehold,818.0571904000001,11,390000,2025,11817.214210903478,320000.0
Low-Cost Flat,Mukim Kuala Lumpur,Others,Freehold,559.7233408,2,150000,2023,11404.069648861696,455000.0
Condominium/Apartment,Kuala Lumpur Town Centre,WARISAN CITY VIEW APARTMENT,Leasehold,910.196263424,11,390000,2024,10655.9521268712,450000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,1356.2527104,5,928000,2023,11404.069648861696,455000.0
Condominium/Apartment,Kuala Lumpur Town Centre,DUA RESIDENCY,Freehold,2281.9490048,13,1650000,2025,10655.9521268712,2850000.0
Low-Cost Flat,Mukim Petaling,TAMAN LTAT BUKIT JALIL,Leasehold,656.5985344000001,9,190000,2024,10346.591314693636,220000.0
Condominium/Apartment,Mukim Batu,CHANGKAT VIEW CONDOMINIUM,Freehold,2098.962528,25,900000,2023,11131.878210905812,495000.0
Condominium/Apartment,Mukim Setapak,PLATINUM LAKE PV13,Leasehold,1323.9609792,12,600000,2023,9948.789325842698,495000.0
