Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,IPOH ROAD GARDEN,JALAN CHENDERUH 4,February 2023,Freehold,134,sq.m,105.26,sq.m,    ,530000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,IPOH ROAD GARDEN,JLN CHENDERUH 4,September 2024,Freehold,134,sq.m,89.56,sq.m,    ,600000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,IPOH ROAD GARDEN,JLN TEROLAK 2,February 2023,Freehold,134,sq.m,97.73,sq.m,    ,440000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,IPOH ROAD GARDEN,JLN TEROLAK 2,November 2024,Freehold,133.776,sq.m,97.73,sq.m,    ,440000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,IPOH ROAD GARDEN,JLN. CENDERUH,March 2022,Freehold,134,sq.m,89.65,sq.m,    ,450000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU, JALAN API-API(27),December 2023,Leasehold,132.847,sq.m,83.24,sq.m,    ,630000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU, JALAN BIDARA 2,October 2023,Freehold,133,sq.m,82.78,sq.m,    ,680000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU, JALAN  MERGASTUA,March 2023,Freehold,139,sq.m,101.103,sq.m,    ,690000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN 70 (HELANG LAUT),November 2022,Freehold,134,sq.m,88.91,sq.m,    ,675000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN 79 (JALAN BELABAS),September 2022,Freehold,133,sq.m,91.97,sq.m,    ,650000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN 79 (LORONG BELABAS),June 2022,Freehold,132,sq.m,91.97,sq.m,    ,600000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN 93 (JALAN CHIAK),October 2023,Freehold,133,sq.m,91.97,sq.m,    ,733000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN 135 KELABU 1,March 2022,Freehold,143.07,sq.m,94.29,sq.m,    ,700000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI,November 2023,Leasehold,132.847,sq.m,93,sq.m,    ,550000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI 3,February 2024,Leasehold,132.847,sq.m,93,sq.m,    ,500000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI 4 (JALAN 24),April 2025,Leasehold,150.963,sq.m,90.95,sq.m,    ,650000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI 5 (JALAN 26),May 2023,Leasehold,150.93,sq.m,74.5,sq.m,    ,600000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI  (JALAN 31),August 2022,Freehold,132.847,sq.m,74.6,sq.m,    ,695000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI (JALAN 31),October 2022,Leasehold,132.847,sq.m,90.98,sq.m,    ,470000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI (JALAN 31),July 2023,Leasehold,132.847,sq.m,74.6,sq.m,    ,430000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI KANAN 2,May 2022,Leasehold,214.6,sq.m,91.97,sq.m,    ,585000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI KANAN 2,January 2023,Leasehold,132.847,sq.m,94.94,sq.m,    ,640000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI KANAN 2,June 2023,Leasehold,175.767,sq.m,91.97,sq.m,    ,600000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI KANAN 2,November 2023,Leasehold,230.949,sq.m,93,sq.m,    ,680000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI KANAN 2,July 2025,Leasehold,132.847,sq.m,80.73,sq.m,    ,650000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI KIRI,October 2023,Leasehold,132.847,sq.m,93,sq.m,    ,498000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI KIRI ( JALAN 29),August 2024,Leasehold,243.1193,sq.m,97.91,sq.m,    ,980000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN ANTOI KIRI (JAALN 29),June 2022,Leasehold,132.847,sq.m,74.6,sq.m,    ,545000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN API API,April 2025,Leasehold,132.847,sq.m,90.95,sq.m,    ,550000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN API API 5,January 2024,Leasehold,132.847,sq.m,90.95,sq.m,    ,565000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN API-API 1 (JALAN 15),May 2022,Leasehold,132.847,sq.m,90.95,sq.m,    ,530000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN API-API 5,July 2024,Leasehold,132.85,sq.m,90.95,sq.m,    ,600000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN API-API 5 (JLN 25),August 2022,Leasehold,132.85,sq.m,92.06,sq.m,    ,600000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN API-API (JLN 27),June 2023,Leasehold,132.847,sq.m,74.6,sq.m,    ,570000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN API-API KANAN,January 2024,Leasehold,132.847,sq.m,66.89,sq.m,    ,500000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN API-API KIRI 1,December 2021,Leasehold,132.847,sq.m,90.95,sq.m,    ,490000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN API-API KIRI 2,August 2024,Freehold,132.847,sq.m,74.6,sq.m,    ,670000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BAKAU (44),November 2023,Freehold,134,sq.m,91.97,sq.m,    ,735000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BAKAU (JALAN 44),April 2022,Freehold,133,sq.m,92.06,sq.m,    ,600000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BAKAU (JALAN 44),April 2024,Freehold,133,sq.m,91.97,sq.m,    ,750000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BANGAU,June 2024,Freehold,133,sq.m,92.06,sq.m,    ,628000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BEBARAU (JALAN 85),June 2022,Freehold,305,sq.m,105.99,sq.m,    ,1248000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BEBARAU (JALAN 85),July 2023,Freehold,133,sq.m,92.06,sq.m,    ,700000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BELABAS,July 2025,Freehold,133,sq.m,91.97,sq.m,    ,660000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BELATUK (JALAN 71),May 2022,Freehold,133,sq.m,90.49,sq.m,    ,650000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BELATUK (JALAN 71),October 2023,Freehold,133,sq.m,89.74,sq.m,    ,620000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BELINJAU (JALAN 57),July 2024,Freehold,267.366,sq.m,91.97,sq.m,    ,820000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BENDARUNG,August 2022,Freehold,133,sq.m,89.6,sq.m,    ,650000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BENDARUNG (79),December 2023,Freehold,133,sq.m,91.97,sq.m,    ,660000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BENGKUDU (JLN 42),August 2022,Freehold,133,sq.m,82.78,sq.m,    ,700000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BENGKUDU (JLN 42),December 2025,Freehold,134,sq.m,83,sq.m,    ,700000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BENGKULANG,March 2023,Freehold,355,sq.m,88.35,sq.m,    ,1180000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BEREMBAN,October 2025,Freehold,131,sq.m,90,sq.m,    ,660000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BEREMBAN 63,January 2024,Freehold,133,sq.m,89.6,sq.m,    ,745000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BEROMBONG,June 2024,Freehold,133,sq.m,91.91,sq.m,    ,680000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BEROMBONG(JALAN 52),November 2025,Freehold,132,sq.m,90,sq.m,    ,700000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BIDARA 2 (JALAN 51),November 2021,Freehold,288,sq.m,193.91,sq.m,    ,1088000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BIDARA 3,April 2023,Freehold,151.96,sq.m,90.95,sq.m,    ,730000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BIDARA (JLN 47),November 2022,Freehold,134,sq.m,87.89,sq.m,    ,700000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN BUBUT (JALAN 77),January 2023,Freehold,133,sq.m,82.78,sq.m,    ,700000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN CAMAR (JLN 60),June 2022,Freehold,133,sq.m,85,sq.m,    ,660000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN CHIAK,April 2023,Freehold,133,sq.m,91.97,sq.m,    ,715000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN CHIAK PADANG (JALAN 72),May 2024,Freehold,133,sq.m,91.97,sq.m,    ,640000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN CHIAK RAYA (JALAN 89),May 2024,Freehold,133,sq.m,91.97,sq.m,    ,660000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN CHIAK TANAH (JALAN 91),December 2022,Freehold,133,sq.m,92.06,sq.m,    ,675000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN CHIAK TANAH(JALAN 91),December 2021,Freehold,132.847,sq.m,89.65,sq.m,    ,620000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,JALAN HELANG,July 2024,Freehold,133,sq.m,91.97,sq.m,    ,720000
